Row ID,Postal Code,Sales,Quantity,Discount,Profit,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name
2148.185506796244,58998.75188232318,61.35188472668861,2.4571844075345064,0.2,4.820861478732947,US-2016-100839,10/13/2016,10/17/2016,Same Day,NC-18625,Edward Nazzal,Consumer,United States,New York City,Colorado,West,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases
6901.337388958408,76294.47800651807,130.48538561036992,2.6615922314256,0.19968515703987985,54.52838073734118,CA-2015-167255,9/27/2015,9/29/2015,Second Class,RH-19510,Rob Lucas,Home Office,United States,San Francisco,Illinois,Central,OFF-ST-10002485,Office Supplies,Paper,Rogers Deluxe File Chest
7028.860358998567,24027.934234910124,44.96376108619546,6.071157111966514,0.1391105803187382,4.436980506792583,CA-2016-101623,2/28/2016,3/6/2016,Standard Class,CA-12055,Cathy Armstrong,Home Office,United States,Houston,Texas,East,OFF-SU-10003567,Office Supplies,Fasteners,Staples
3723.8228191678577,72146.25160552986,1335.2044637913752,7.05183967640736,0.17589341307014883,578.2416273037334,CA-2014-103492,10/10/2014,12/9/2016,Standard Class,JE-16165,Craig Molinari,Corporate,United States,Franklin,Wisconsin,Central,FUR-CH-10000454,Technology,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
3659.5012561544304,20405.74011378984,175.92194537354052,3.477259496370757,0.07721109367838448,33.12538980531406,CA-2017-104731,7/21/2017,7/27/2017,Standard Class,CK-12205,Anne McFarland,Consumer,United States,Hempstead,New York,East,OFF-BI-10002852,Office Supplies,Phones,Nortel Networks T7316 E Nt8 B27
8333.111949877853,15938.78164551357,244.9969243713693,2.962076197614901,0.07940978490033644,-5.174784384011065,CA-2017-153045,1/19/2017,7/19/2015,Second Class,NS-18505,Neola Schneider,Corporate,United States,New York City,Pennsylvania,East,TEC-PH-10001817,Office Supplies,Paper,Wilson Electronics DB Pro Signal Booster
9340.740217743409,83891.6963281134,23.48731245271328,2.1390010204987124,0.09868579741645403,8.942013219786249,CA-2017-138870,6/19/2017,6/23/2017,Second Class,GA-14515,Lena Cacioppo,Consumer,United States,San Francisco,California,West,FUR-FU-10004351,Furniture,Paper,Staple-based wall hangings
1520.7057276458277,78982.53136762857,948.4499245106922,7.0,0.39352518954700194,-596.8220936465545,US-2015-103471,9/27/2016,12/28/2015,Standard Class,JR-15670,Harry Marie,Consumer,United States,Huntsville,Colorado,West,FUR-BO-10002613,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak
7902.680172704477,25173.452129885576,59.01652631909082,1.3366888771925232,0.2,1.743154378932772,CA-2014-138317,6/21/2014,4/30/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Daytona Beach,Florida,South,OFF-AR-10004757,Office Supplies,Accessories,Crayola Colored Pencils
939.8129005770636,79562.60392842983,10.977088404971933,2.9322756474972334,0.2,3.6130098131832664,CA-2017-102218,9/2/2017,9/4/2017,Standard Class,GT-14710,Greg Tran,Consumer,United States,Houston,Texas,West,OFF-FA-10004248,Office Supplies,Labels,Advantus T-Pin Paper Clips
3038.4482949555004,73559.20997923582,260.8502638775323,4.913701553399635,0.042840351454307785,18.432952956281092,US-2015-123960,6/11/2015,7/24/2014,Standard Class,KM-16375,Brian Dahlen,Consumer,United States,Monroe,Louisiana,South,OFF-ST-10003306,Office Supplies,Accessories,Letter Size Cart
