Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
9493.828023290982,CA-2017-111591,3/21/2017,3/25/2017,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Seattle,Washington,97726.89225803428,West,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,304.39978001343144,4.0928959006933,-0.011728787544934888,4.999603012042119
772.6958333686321,CA-2015-142027,4/9/2015,4/14/2015,Standard Class,JK-15370,Jay Kimmel,Consumer,United States,Long Beach,California,92501.86929004498,West,FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,342.3300019270428,3.196717628075793,0.19312898869516826,-17.762423233939646
9312.276020573197,CA-2014-125997,9/20/2014,9/23/2014,First Class,MW-18220,Mitch Webber,Consumer,United States,New York City,New York,10878.813379259109,East,TEC-PH-10003072,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,1365.5353429740192,9.122403153151108,0.001936187918337525,655.3593813939174
5877.657685619938,CA-2016-158211,1/4/2016,1/8/2016,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,17991.299414893525,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,64.06599812083834,5.880495447085888,0.7059730991623573,-78.94829412251613
5261.764119669071,CA-2014-101560,11/28/2014,12/1/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Columbia,South Carolina,28547.254594532544,South,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,357.3708029885127,5.1112454248948165,-0.010136521210129137,43.61527993622323
830.9348719707381,US-2014-141215,6/15/2014,6/21/2014,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78959.29496263812,Central,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,5.104169739671209,3.2676540094016855,0.7890237069553196,-2.6631104158763605
6692.36931923751,CA-2015-109386,11/8/2015,11/13/2015,Second Class,RH-19600,Rob Haberlin,Consumer,United States,Hampton,Virginia,24847.84810446544,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,188.74216793392378,4.826180047219326,-0.012935364425936065,66.7904953693803
5070.958262154618,CA-2017-139304,1/29/2017,2/2/2017,Standard Class,VG-21790,Vivek Gonzalez,Consumer,United States,San Francisco,California,93746.51235647744,West,OFF-AR-10001216,Office Supplies,Art,Newell 339,-2.822503697473117,3.1303052235917432,-0.011865708856046573,-3.3571186114952827
4197.713312608866,CA-2015-153416,11/24/2015,11/29/2015,Standard Class,TS-21340,Toby Swindell,Consumer,United States,Los Angeles,California,91386.37584460978,West,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,473.6200611649246,7.068830560707656,0.007963289744577598,54.117868910836265
4225.514268000688,CA-2014-145387,10/31/2014,11/2/2014,Second Class,AM-10705,Anne McFarland,Consumer,United States,Cranston,Rhode Island,-70.60731863358978,East,FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",310.5438320147134,1.1630442232482088,0.28542227160792955,-63.29523781418327
